id,prompt,A,B,C,D,E,answer
6014,What is the habitat and maximum length of the sliteye shark?,"It is found in the warm waters of the Indian Ocean between latitudes 20° N and 20° S, from depths of 200 to 2000 m. It can reach a length of about 80 cm.","It is found in the temperate waters of the North Atlantic between latitudes 50° N and 50° S, from depths of 100 to 5000 m. It can reach a length of about 95 cm.","It is found in the tropical waters of the Indo-West Pacific between latitudes 34° N and 30° S, from depths of 7 to 100 m. It can reach a length of about 95 cm.","It is found in the temperate waters of the North Pacific between latitudes 40° N and 20° S, from depths of 50 to 200 m. It can reach a length of about 120 cm.","It is found in the cold waters of the Southern Ocean between latitudes 60° N and 60° S, from depths of 1000 to 5000 m. It can reach a length of about 120 cm.",C
6015,What does Itchy-O consist of?,Itchy-O is a solo artist known for their avant-garde music performance.,Itchy-O is a music production company that focuses on electronic music.,Itchy-O is a duo consisting of a drummer and a pyrotechnics specialist.,"Itchy-O is a 57-member group consisting of a drum-corps battery, pyrotechnics, taiko drummers, and an arsenal of electronics and crowd-roving provocateurs.",Itchy-O is a small ensemble of musicians that only performs with taiko drums.,D
6016,What was the significance of Gerald Edward Fitzgerald's role as a judge in the Federal Court of Australia?,He served as the youngest judge in the history of the Federal Court of Australia.,He supervised the investigation into corruption in the Queensland government.,He was appointed as the successor to Joh Bjelke-Petersen as the Premier of Queensland.,He provided legal counsel to the police commissioner during the Fitzgerald Inquiry.,He drafted the report that led to the resignation of the Premier of Queensland.,A
6017,"What is the historical significance of Kallangur, a suburb in the Moreton Bay Region, Queensland, Australia?","Kallangur has no significant historical importance, being an ordinary suburban area.","Kallangur played a crucial role in the industrial revolution, establishing itself as a prominent manufacturing hub.","Kallangur is the birthplace of an Australian prime minister, making it an important political landmark.","Kallangur was the site of significant archaeological discoveries, uncovering artifacts from ancient indigenous civilizations.","Kallangur served as a major military base during World War II, contributing to the defense efforts of Australia.",A
6018,"What is the political party affiliation of P. T. A Rahim, the current MLA of the Kunnamangalam State assembly constituency?",P. T. A Rahim is a member of the Indian National Congress.,P. T. A Rahim is a member of the Bharatiya Janata Party.,P. T. A Rahim is a member of the Communist Party of India (Marxist).,P. T. A Rahim is a member of the Communist Party of India.,P. T. A Rahim is an independent candidate with no party affiliation.,C
6019,What was Albert Claude's most significant contribution to the field of biology?,Albert Claude served in the British Intelligence Service during the First World War.,Albert Claude was the first to employ the electron microscope in the field of biology.,Albert Claude earned his Doctor of Medicine degree in 1928 from the University of Liège in Belgium.,"Albert Claude developed the technique of cell fractionation, which led to the discovery of components of cell organelles such as mitochondrion, chloroplast, endoplasmic reticulum, Golgi apparatus, ribosome, and lysosome.",Albert Claude published the first detailed structure of a cell in 1945.,D
6020,Which family does Formica pergandei belong to?,Family Diptera,Family Formicidae,Family Hymenoptera,Family Culicidae,Family Apidae,B
6021,"What is the main focus of the 2011 Malayalam film ""Koratty Pattanam Railway Gate""?",The film explores the historical background and cultural significance of the Koratty Pattanam railway gate.,The film tells the story of two families living in a small village and their day-to-day lives and interactions.,The film sheds light on the social injustice faced by a marginalized community in a rural setting.,The film focuses on the romance between two lead characters and their journey through various obstacles.,The film highlights the struggle of a young woman trying to break free from social norms and pursue her dreams.,D
6022,What is the format of Rip Rig + Panic's debut album God?,The album God was released as a CD with an additional tracks taken from singles.,The album God was released as a digital download.,The album God was released as a cassette tape.,"The album God was released as two 12"" 45 rpm discs.","The album God was released as a single 12"" 33⅓ rpm disc.",D
6023,Which two junior colleges were merged in 2019 to form Anderson Serangoon Junior College (ASRJC)?,Anglo-Chinese Junior College (ACJC) and Temasek Junior College (TJC),Catholic Junior College (CJC) and Nanyang Junior College (NYJC),Hwa Chong Institution (HCI) and National Junior College (NJC),Anderson Junior College (AJC) and Serangoon Junior College (SRJC),Victoria Junior College (VJC) and Pioneer Junior College (PJC),D
6024,"What is the significance of the song ""Ice Rain"" on Shizuka Kudo's career?","""Ice Rain"" was released simultaneously with Kudo's third video album, Female III.","""Ice Rain"" was Kudo's first English-language song.","""Ice Rain"" was the only song written by Kudo to make the top ten list of favorite karaoke songs by DAM users.","""Ice Rain"" was featured as the title track of Kudo's tenth studio album, Purple.","""Ice Rain"" was Kudo's first single released under Pony Canyon.",C
6025,What is the primary purpose of Air Experience Flights (AEFs) in the Royal Air Force?,The primary purpose of AEFs is to provide air support to the Royal Air Force during combat missions.,The primary purpose of AEFs is to provide flight training to members of the Royal Air Force.,"The primary purpose of AEFs is to provide air experience to members of various youth organizations, such as the Air Training Corps.",The primary purpose of AEFs is to provide air defense capabilities in collaboration with other military branches.,The primary purpose of AEFs is to provide air transportation services for the Royal Air Force personnel.,C
6026,"When was the album ""The Ballad Style of Stan Kenton"" released?",1960,1962,1957,1955,1958,E
6027,Which is one of Travis Lane Fine's notable film roles?,Any Day Now,"Girl, Interrupted",Detecting the heat produced when a particle hits an atom in a crystal absorber or the scintillation produced by a particle collision in liquid xenon or argon to determine the mass and interaction cross section with electrons of dark matter particles.,Distinguishing background particles from dark matter particles by detecting the heat produced when a particle hits an atom in a crystal absorber or the scintillation produced by a particle collision in liquid xenon or argon.,The Young Riders,B
